freq_GHz,Sdd11_dB,S11_single_ended_dB,VSWR_differential
2.851500,-7.5129,-4.3150,2.4547
2.853200,-7.5001,-4.3311,2.4583
2.854900,-7.4872,-4.3474,2.4621
2.856600,-7.4740,-4.3638,2.4660
2.858300,-7.4605,-4.3804,2.4699
2.860000,-7.4468,-4.3972,2.4739
2.861700,-7.4329,-4.4141,2.4781
2.863400,-7.4188,-4.4312,2.4822
2.865100,-7.4044,-4.4484,2.4865
2.866800,-7.3898,-4.4658,2.4909
2.868500,-7.3750,-4.4834,2.4953
2.870200,-7.3599,-4.5011,2.4999
2.871900,-7.3446,-4.5190,2.5045
2.873600,-7.3291,-4.5371,2.5092
2.875300,-7.3134,-4.5553,2.5140
2.877000,-7.2975,-4.5738,2.5189
2.878700,-7.2814,-4.5923,2.5239
2.880400,-7.2650,-4.6111,2.5290
2.882100,-7.2485,-4.6300,2.5341
2.883800,-7.2317,-4.6491,2.5393
2.885500,-7.2148,-4.6683,2.5447
2.887200,-7.1976,-4.6878,2.5501
2.888900,-7.1803,-4.7073,2.5556
2.890600,-7.1628,-4.7271,2.5612
2.892300,-7.1450,-4.7471,2.5669
2.894000,-7.1271,-4.7672,2.5727
2.895700,-7.1091,-4.7875,2.5785
2.897400,-7.0908,-4.8079,2.5845
2.899100,-7.0724,-4.8286,2.5905
2.900800,-7.0537,-4.8494,2.5967
2.902500,-7.0350,-4.8704,2.6029
2.904200,-7.0160,-4.8915,2.6092
2.905900,-6.9969,-4.9129,2.6156
2.907600,-6.9776,-4.9344,2.6221
2.909300,-6.9582,-4.9561,2.6287
2.911000,-6.9386,-4.9780,2.6354
2.912700,-6.9189,-5.0001,2.6422
2.914400,-6.8990,-5.0223,2.6490
2.916100,-6.8790,-5.0447,2.6560
2.917800,-6.8588,-5.0673,2.6630
2.919500,-6.8385,-5.0901,2.6702
2.921200,-6.8181,-5.1131,2.6774
2.922900,-6.7976,-5.1362,2.6847
2.924600,-6.7769,-5.1596,2.6921
2.926300,-6.7561,-5.1831,2.6996
2.928000,-6.7351,-5.2068,2.7072
2.929700,-6.7141,-5.2307,2.7149
2.931400,-6.6929,-5.2548,2.7227
2.933100,-6.6717,-5.2791,2.7306
2.934800,-6.6503,-5.3036,2.7386
2.936500,-6.6288,-5.3282,2.7466
2.938200,-6.6072,-5.3531,2.7548
2.939900,-6.5856,-5.3781,2.7630
2.941600,-6.5638,-5.4033,2.7714
2.943300,-6.5419,-5.4288,2.7798
2.945000,-6.5200,-5.4544,2.7883
2.946700,-6.4980,-5.4802,2.7970
2.948400,-6.4759,-5.5062,2.8057
2.950100,-6.4537,-5.5324,2.8145
2.951800,-6.4314,-5.5589,2.8234
2.953500,-6.4091,-5.5855,2.8324
