freq_GHz,S11_dB_flat_0pct,S11_dB_flat_5pct,S11_dB_flat_10pct,S11_dB_flat_15pct,S11_dB_flat_20pct
2.968000,-4.8481,-3.7916,-2.7413,-2.2555,-1.9011
2.970000,-4.8167,-3.7687,-2.7277,-2.2457,-1.8941
2.972000,-4.7855,-3.7460,-2.7143,-2.2360,-1.8872
2.974000,-4.7547,-3.7235,-2.7009,-2.2263,-1.8803
2.976000,-4.7242,-3.7012,-2.6876,-2.2167,-1.8735
2.978000,-4.6939,-3.6791,-2.6745,-2.2073,-1.8667
2.980000,-4.6639,-3.6572,-2.6615,-2.1979,-1.8601
2.982000,-4.6342,-3.6355,-2.6485,-2.1885,-1.8534
2.984000,-4.6048,-3.6140,-2.6357,-2.1793,-1.8469
2.986000,-4.5756,-3.5927,-2.6230,-2.1701,-1.8404
2.988000,-4.5467,-3.5716,-2.6104,-2.1611,-1.8339
2.990000,-4.5181,-3.5507,-2.5980,-2.1521,-1.8275
2.992000,-4.4898,-3.5299,-2.5856,-2.1432,-1.8212
2.994000,-4.4616,-3.5094,-2.5733,-2.1343,-1.8149
2.996000,-4.4338,-3.4890,-2.5612,-2.1255,-1.8087
2.998000,-4.4062,-3.4688,-2.5491,-2.1169,-1.8026
3.000000,-4.3788,-3.4488,-2.5371,-2.1082,-1.7965
3.002000,-4.3517,-3.4289,-2.5253,-2.0997,-1.7904
3.004000,-4.3249,-3.4093,-2.5135,-2.0912,-1.7844
3.006000,-4.2983,-3.3898,-2.5019,-2.0828,-1.7785
3.008000,-4.2719,-3.3705,-2.4903,-2.0745,-1.7726
3.010000,-4.2458,-3.3513,-2.4789,-2.0663,-1.7668
3.012000,-4.2199,-3.3323,-2.4675,-2.0581,-1.7611
3.014000,-4.1942,-3.3135,-2.4562,-2.0500,-1.7553
3.016000,-4.1687,-3.2948,-2.4451,-2.0420,-1.7497
3.018000,-4.1435,-3.2764,-2.4340,-2.0340,-1.7441
3.020000,-4.1185,-3.2580,-2.4230,-2.0261,-1.7385
3.022000,-4.0938,-3.2399,-2.4121,-2.0183,-1.7330
3.024000,-4.0692,-3.2219,-2.4013,-2.0105,-1.7276
3.026000,-4.0449,-3.2040,-2.3906,-2.0028,-1.7222
3.028000,-4.0208,-3.1863,-2.3800,-1.9952,-1.7168
3.030000,-3.9969,-3.1688,-2.3695,-1.9876,-1.7115
3.032000,-3.9732,-3.1514,-2.3591,-1.9802,-1.7063
3.034000,-3.9497,-3.1341,-2.3487,-1.9727,-1.7011
3.036000,-3.9264,-3.1170,-2.3385,-1.9654,-1.6959
3.038000,-3.9033,-3.1001,-2.3283,-1.9581,-1.6908
3.040000,-3.8805,-3.0833,-2.3182,-1.9508,-1.6858
3.042000,-3.8578,-3.0666,-2.3082,-1.9437,-1.6808
3.044000,-3.8353,-3.0501,-2.2983,-1.9366,-1.6758
3.046000,-3.8130,-3.0338,-2.2885,-1.9295,-1.6709
3.048000,-3.7909,-3.0175,-2.2787,-1.9226,-1.6661
3.050000,-3.7691,-3.0014,-2.2690,-1.9156,-1.6613
3.052000,-3.7474,-2.9855,-2.2595,-1.9088,-1.6565
3.054000,-3.7258,-2.9697,-2.2500,-1.9020,-1.6518
3.056000,-3.7045,-2.9540,-2.2405,-1.8953,-1.6471
3.058000,-3.6834,-2.9384,-2.2312,-1.8886,-1.6425
3.060000,-3.6624,-2.9230,-2.2219,-1.8820,-1.6379
3.062000,-3.6416,-2.9078,-2.2127,-1.8754,-1.6334
3.064000,-3.6210,-2.8926,-2.2036,-1.8689,-1.6289
3.066000,-3.6006,-2.8776,-2.1946,-1.8625,-1.6245
3.068000,-3.5803,-2.8627,-2.1856,-1.8561,-1.6201
3.070000,-3.5602,-2.8479,-2.1767,-1.8498,-1.6157
3.072000,-3.5403,-2.8333,-2.1679,-1.8435,-1.6114
3.074000,-3.5206,-2.8187,-2.1592,-1.8373,-1.6072
3.076000,-3.5010,-2.8043,-2.1505,-1.8311,-1.6029
3.078000,-3.4816,-2.7901,-2.1420,-1.8250,-1.5988
3.080000,-3.4624,-2.7759,-2.1334,-1.8190,-1.5946
3.082000,-3.4433,-2.7619,-2.1250,-1.8130,-1.5906
3.084000,-3.4244,-2.7480,-2.1166,-1.8070,-1.5865
3.086000,-3.4056,-2.7342,-2.1083,-1.8012,-1.5825
3.088000,-3.3870,-2.7205,-2.1001,-1.7953,-1.5785
3.090000,-3.3686,-2.7069,-2.0920,-1.7895,-1.5746
3.092000,-3.3503,-2.6935,-2.0839,-1.7838,-1.5708
3.094000,-3.3322,-2.6801,-2.0758,-1.7782,-1.5669
