strain_pct,freq_GHz,S11_dB
0.0,2.59,-3.2057011906357618
0.0,2.592,-3.188611219593838
0.0,2.5940000000000003,-3.1716862890312694
0.0,2.596,-3.154924417705045
0.0,2.598,-3.1383236554908973
0.0,2.6,-3.1218820828055884
0.0,2.6020000000000003,-3.1055978100420436
0.0,2.604,-3.0894689770169474
0.0,2.606,-3.073493752430548
0.0,2.608,-3.0576703333383186
0.0,2.6100000000000003,-3.0419969446341772
0.0,2.612,-3.0264718385449663
0.0,2.614,-3.011093294135889
0.0,2.616,-2.9958596168266904
0.0,2.6180000000000003,-2.9807691379182186
0.0,2.62,-2.965820214129171
0.0,2.622,-2.9510112271427538
0.0,2.624,-2.9363405831629885
0.0,2.6260000000000003,-2.921806712480473
0.0,2.628,-2.9074080690473036
0.0,2.63,-2.8931431300609693
0.0,2.632,-2.879010395556994
0.0,2.6340000000000003,-2.8650083880101325
0.0,2.636,-2.8511356519438484
0.0,2.638,-2.8373907535479495
0.0,2.64,-2.8237722803041203
0.0,2.6420000000000003,-2.8102788406192456
0.0,2.644,-2.7969090634662317
0.0,2.646,-2.783661598032211
0.0,2.648,-2.7705351133739664
0.0,2.6500000000000004,-2.7575282980803766
0.0,2.652,-2.744639859941717
0.0,2.654,-2.731868525625652
0.0,2.6559999999999997,-2.719213040359802
0.0,2.658,-2.70667216762068
0.0,2.66,-2.6942446888288885
0.0,2.662,-2.681929403050412
0.0,2.6639999999999997,-2.669725126703857
0.0,2.666,-2.6576306932735476
0.0,2.668,-2.645644953028285
0.0,2.67,-2.6337667727456884
0.0,2.6719999999999997,-2.621995035441958
0.0,2.674,-2.6103286401069647
0.0,2.676,-2.5987665014445356
0.0,2.678,-2.5873075496177975
0.0,2.6799999999999997,-2.575950729999516
0.0,2.682,-2.5646950029272646
0.0,2.684,-2.553539343463359
0.0,2.686,-2.5424827411594286
0.0,2.6879999999999997,-2.5315241998255216
0.0,2.69,-2.520662737303651
0.0,2.692,-2.5098973852457185
0.0,2.694,-2.4992271888956434
0.0,2.6959999999999997,-2.4886512068756668
0.0,2.698,-2.4781685109767295
0.0,2.7,-2.46777818595284
0.0,2.702,-2.4574793293193147
0.0,2.7039999999999997,-2.4472710511548392
0.0,2.706,-2.43715247390727
0.0,2.708,-2.4271227322030806
0.0,2.71,-2.4171809726603892
0.0,2.7119999999999997,-2.4073263537054683
0.0,2.714,-2.3975580453926977
0.0,2.716,-2.387875229227884
0.0,2.718,-2.378277097994822
0.0,2.7199999999999998,-2.3687628555851195
0.0,2.722,-2.359331716831136
0.0,2.724,-2.3499829073420377
0.0,2.726,-2.3407156633428423
0.0,2.7279999999999998,-2.331529231516456
0.0,2.73,-2.3224228688485664
0.0,2.732,-2.313395842475433
0.0,2.734,-2.3044474295344055
0.0,2.7359999999999998,-2.2955769170171996
0.0,2.738,-2.28678360162584
0.0,2.74,-2.278066789631212
0.0,2.742,-2.26942579673419
0.0,2.7439999999999998,-2.2608599479292613
0.0,2.746,-2.2523685773706315
0.0,2.748,-2.243951028240764
0.0,2.75,-2.235606652621231
0.0,2.752,-2.2273348113659233
0.0,2.754,-2.219134873976559
0.0,2.7560000000000002,-2.2110062184803674
0.0,2.758,-2.2029482313099957
0.0,2.76,-2.194960307185564
0.0,2.762,-2.1870418489988044
0.0,2.7640000000000002,-2.1791922676992797
0.0,2.766,-2.1714109821826173
0.0,2.768,-2.1636974191807283
0.0,2.77,-2.156051013153983
0.0,2.7720000000000002,-2.1484712061852913
0.0,2.774,-2.1409574478760445
0.0,2.776,-2.1335091952439176
0.0,2.778,-2.1261259126224563
0.0,2.7800000000000002,-2.118807071562461
0.0,2.782,-2.111552150735075
0.0,2.784,-2.104360635836599
0.0,2.786,-2.097232019494962
0.0,2.7880000000000003,-2.0901658011778776
0.0,2.79,-2.0831614871025477
0.0,2.792,-2.076218590146996
0.0,2.794,-2.069336629762947
0.0,2.7960000000000003,-2.062515131890227
0.0,2.798,-2.0557536288726466
0.0,2.8,-2.0490516593753894
0.0,2.802,-2.0424087683038072
0.0,2.8040000000000003,-2.035824506723676
0.0,2.806,-2.0292984317827996
0.0,2.808,-2.02283010663401
0.0,2.81,-2.01641910035952
0.0,2.8120000000000003,-2.010064987896564
0.0,2.814,-2.003767349964366
0.0,2.816,-1.9975257729923732
0.0,2.818,-1.9913398490497312
0.0,2.8200000000000003,-1.9852091757760137
0.0,2.822,-1.979133356313147
0.0,2.824,-1.9731119992385056
0.0,2.826,-1.9671447184992188
0.0,2.8280000000000003,-1.961231133347595
0.0,2.83,-1.9553708682776811
0.0,2.832,-1.9495635529629374
0.0,2.834,-1.9438088221949943
0.0,2.8360000000000003,-1.9381063158235035
0.0,2.838,-1.9324556786970184
0.0,2.84,-1.926856560604926
0.0,2.842,-1.9213086162203972
0.0,2.8440000000000003,-1.9158115050443494
0.0,2.846,-1.910364891350386
0.0,2.848,-1.9049684441307035
0.0,2.85,-1.8996218370429672
0.0,2.8520000000000003,-1.8943247483581422
0.0,2.854,-1.889076860909189
0.0,2.856,-1.8838778620407517
0.0,2.858,-1.8787274435596768
0.0,2.8600000000000003,-1.8736253016864557
0.0,2.862,-1.8685711370075135
0.0,2.864,-1.8635646544283584
0.0,2.866,-1.8586055631275795
0.0,2.8680000000000003,-1.8536935765116724
0.0,2.87,-1.848828412170659
0.0,2.872,-1.8440097918345577
0.0,2.874,-1.8392374413305943
0.0,2.8760000000000003,-1.8345110905412298
0.0,2.878,-1.8298304733629402
0.0,2.88,-1.8251953276657567
0.0,2.882,-1.8206053952535477
0.0,2.8840000000000003,-1.8160604218250538
0.0,2.886,-1.8115601569356192
0.0,2.888,-1.8071043539596607
0.0,2.89,-1.8026927700538313
0.0,2.8920000000000003,-1.7983251661208755
0.0,2.894,-1.7940013067741845
0.0,2.896,-1.7897209603029967
0.0,2.898,-1.7854838986382957
0.0,2.9000000000000004,-1.781289897319343
0.0,2.902,-1.7771387354608803
0.0,2.904,-1.7730301957209287
0.0,2.906,-1.7689640642692817
0.0,2.908,-1.7649401307565593
0.0,2.91,-1.760958188283911
0.0,2.912,-1.7570180333733234
0.0,2.9139999999999997,-1.7531194659384979
0.0,2.916,-1.74926228925637
0.0,2.918,-1.7454463099391573
0.0,2.92,-1.7416713379070252
0.0,2.9219999999999997,-1.737937186361297
0.0,2.924,-1.734243671758228
0.0,2.926,-1.7305906137833689
0.0,2.928,-1.726977835326422
0.0,2.9299999999999997,-1.723405162456688
0.0,2.932,-1.7198724243990204
0.0,2.934,-1.716379453510325
0.0,2.936,-1.7129260852565829
0.0,2.9379999999999997,-1.7095121581903905
0.0,2.94,-1.7061375139289843
0.0,2.942,-1.7028019971328436
0.0,2.944,-1.6995054554847167
0.0,2.9459999999999997,-1.6962477396691926
0.0,2.948,-1.6930287033527402
0.0,2.95,-1.6898482031642632
0.0,2.952,-1.686706098676091
