freq_GHz,S11_dB_simulated_freespace_singleended
2.724,-3.6907099255962326
2.7257,-3.6845994183638724
2.7274000000000003,-3.678618563723279
2.7291,-3.6727675054335744
2.7308000000000003,-3.667046392602721
2.7325,-3.661455379607417
2.7342000000000004,-3.655994626011902
2.7359,-3.650664296485787
2.7376,-3.645464560720714
2.7393,-3.6403955933459766
2.741,-3.635457573843009
2.7427,-3.630650686458672
2.7444,-3.625975120117454
2.7461,-3.6214310683323667
2.7478,-3.6170187291147284
2.7495000000000003,-3.612738304882642
2.7512,-3.6085900023682282
2.7529000000000003,-3.604574032523572
2.7546,-3.600690610425392
2.7563000000000004,-3.596939955178339
2.758,-3.593322289816979
2.7597,-3.5898378412064016
2.7614,-3.5864868399414513
2.7631,-3.5832695202445377
2.7648,-3.5801861198620437
2.7665,-3.577236879959262
2.7682,-3.5744220450138977
2.7699,-3.5717418627080946
2.7716000000000003,-3.56919658381893
2.7733,-3.566786462107453
2.7750000000000004,-3.5645117542061335
2.7767,-3.5623727195048365
2.7784,-3.5603696200351687
2.7801,-3.5585027203532986
2.7818,-3.556772287421185
2.7835,-3.5551785904861792
2.7852,-3.55372190095905
2.7869,-3.5524024922903563
2.7886,-3.5512206398451953
2.7903000000000002,-3.5501766207763086
2.792,-3.5492707138955164
2.7937000000000003,-3.548503199543511
2.7954,-3.547874359457937
2.7971000000000004,-3.5473844766398526
2.7988,-3.5470338352184267
2.8005,-3.546822720314002
2.8022,-3.546751417899419
2.8039,-3.5468202146596766
2.8056,-3.5470293978498373
2.8073,-3.547379255151263
2.809,-3.54787007452612
2.8107,-3.5485021440701665
2.8124000000000002,-3.5492757518638607
2.8141,-3.550191185821729
2.8158000000000003,-3.5512487335400165
2.8175,-3.5524486821426886
2.8192000000000004,-3.5537913181256804
2.8209,-3.55527692719948
2.8226,-3.5569057941300173
2.8243,-3.5586782025778922
2.826,-3.5605944349359038
2.8277,-3.5626547721649766
2.8294,-3.5648594936283717
2.8311,-3.567208876924351
2.8328,-3.569703197717154
2.8345000000000002,-3.5723427295664294
2.8362,-3.5751277437550417
2.8379000000000003,-3.5780585091153556
2.8396,-3.5811352918539727
2.8413000000000004,-3.5843583553749254
2.843,-3.5877279601014145
2.8447,-3.5912443632960542
2.8464,-3.59490781887968
2.8481,-3.598718577248772
2.8498,-3.6026768850914714
2.8515,-3.60678298520226
2.8532,-3.6110371162953188
2.8548999999999998,-3.615439512816647
2.8566000000000003,-3.61999040475492
2.8583,-3.624690017451111
2.8600000000000003,-3.6295385714070734
2.8617,-3.6345362820929026
2.8634000000000004,-3.639683359753284
2.8651,-3.6449800092128526
2.8668,-3.6504264296805715
2.8685,-3.6560228145531815
2.8702,-3.66176935121786
2.8719,-3.667666220854051
2.8736,-3.6737135982345865
2.8753,-3.6799116515261083
2.877,-3.6862605420889722
2.8787000000000003,-3.6927604242765537
2.8804,-3.699411445234154
2.8821000000000003,-3.706213744697451
2.8838,-3.713167454790762
2.8855000000000004,-3.720272699825027
2.8872,-3.7275295960956507
2.8889,-3.734938251680319
2.8906,-3.7424987662368814
2.8923,-3.7502112308013986
2.894,-3.7580757275863093
2.8957,-3.7660923297791378
2.8974,-3.7742611013414713
2.8991,-3.782582096808642
2.9008000000000003,-3.791055361090022
2.9025,-3.7996809292700595
2.9042000000000003,-3.8084588264103774
2.9059,-3.8173890673528055
2.9076000000000004,-3.8264716565236063
2.9093,-3.835706587739098
2.911,-3.845093844012591
2.9127,-3.8546333973631217
2.9144,-3.8643252086257367
2.9161,-3.8741692272638852
2.9178,-3.884165391183707
2.9195,-3.894313626550749
2.9212,-3.904613847608909
2.9229000000000003,-3.915065956502227
2.9246,-3.9256698430991364
2.9263000000000003,-3.936425384820054
2.928,-3.94733244646787
2.9297000000000004,-3.9583908800620016
2.9314,-3.969600524675911
2.9331,-3.9809612062786077
2.9348,-3.9924727375800466
2.9365,-4.004134917880923
2.9382,-4.015947532926948
2.9399,-4.027910354767935
2.9416,-4.0400231416219095
2.9433,-4.052285637744576
2.9450000000000003,-4.064697573304378
2.9467,-4.077258664263372
2.9484000000000004,-4.0899686122644
2.9501,-4.102827104524666
2.9518000000000004,-4.115833813736198
2.9535,-4.128988397973371
2.9552,-4.142290500607989
2.9569,-4.155739750232127
2.9586,-4.169335760589241
2.9603,-4.183078130513774
2.962,-4.1969664438797825
2.9637000000000002,-4.211000269558852
2.9654,-4.225179161387833
2.9671000000000003,-4.239502658146716
2.9688,-4.253970283547151
