freq_GHz,S11_dB
2.7439999999999998,-5.474852024238058
2.746,-5.436995304457547
2.748,-5.399554389630409
2.75,-5.362523204040444
2.752,-5.325895789788549
2.754,-5.289666303837327
2.7560000000000002,-5.253829015149945
2.758,-5.218378301919614
2.76,-5.183308648886177
2.762,-5.14861464473657
2.7640000000000002,-5.114290979585752
2.766,-5.080332442535149
2.768,-5.04673391930589
2.77,-5.013490389943552
2.7720000000000002,-4.980596926592365
2.774,-4.948048691335791
2.776,-4.915840934101397
2.778,-4.883968990627531
2.7800000000000002,-4.852428280489468
2.782,-4.821214305183185
2.784,-4.7903226462644835
2.786,-4.759748963541428
2.7880000000000003,-4.729488993318566
2.79,-4.699538546690624
2.792,-4.66989350788459
2.794,-4.640549832647782
2.7960000000000003,-4.6115035466809475
2.798,-4.582750744114637
2.8,-4.5542875860271215
2.802,-4.526110299002968
2.8040000000000003,-4.4982151737305145
2.806,-4.47059856363718
2.808,-4.443256883560915
2.81,-4.416186608457628
2.8120000000000003,-4.389384272142173
2.814,-4.362846466062512
2.816,-4.336569838105985
2.818,-4.310551091436554
2.8200000000000003,-4.284786983361783
2.822,-4.2592743242290885
2.824,-4.234009976350002
2.826,-4.208990852951686
2.8280000000000003,-4.1842139171548665
2.83,-4.159676180977242
2.832,-4.135374704361846
2.834,-4.111306594229268
2.8360000000000003,-4.087469003553553
2.838,-4.063859130460154
2.84,-4.040474217346246
2.842,-4.01731155002224
2.8440000000000003,-3.994368456873893
2.846,-3.9716423080444185
2.848,-3.94913051463621
2.85,-3.9268305279313322
2.8520000000000003,-3.904739838630454
2.854,-3.882855976109515
2.856,-3.861176507693738
2.858,-3.8396990379485585
2.8600000000000003,-3.8184212079867685
2.862,-3.7973406947916155
2.864,-3.7764552105553104
2.866,-3.7557625020326975
2.8680000000000003,-3.735260349909236
2.87,-3.714946568183527
2.872,-3.6948190035633752
2.874,-3.6748755348755062
2.8760000000000003,-3.6551140724881277
2.878,-3.6355325577464725
2.88,-3.6161289624204946
2.882,-3.5969012881647933
2.8840000000000003,-3.577847565990277
2.886,-3.558965855746969
2.888,-3.540254245618391
2.89,-3.521710851626433
2.8920000000000003,-3.5033338171469435
2.894,-3.4851213124355755
2.896,-3.467071534163649
2.898,-3.449182704963814
2.9000000000000004,-3.431453072985093
2.902,-3.4138809114575066
2.904,-3.3964645182653945
2.906,-3.379202215529814
2.908,-3.3620923491994033
2.91,-3.345133288649719
2.912,-3.328323426290711
2.9139999999999997,-3.311661177182152
2.916,-3.2951449786569325
2.918,-3.2787732899518973
2.92,-3.2625445918461433
2.9219999999999997,-3.24645738630649
2.924,-3.230510196140016
2.926,-3.2147015646536996
2.928,-3.1990300553203372
2.9299999999999997,-3.1834942514516085
2.932,-3.1680927558770526
2.934,-3.1528241906296968
2.936,-3.1376871966375273
2.9379999999999997,-3.1226804334211016
2.94,-3.1078025787969876
2.942,-3.093052328586859
2.944,-3.0784283963322174
2.9459999999999997,-3.063929513014532
2.948,-3.0495544267807646
2.95,-3.0353019026740036
2.952,-3.021170722369341
2.9539999999999997,-3.0071596839145305
2.956,-2.993267601475733
2.958,-2.979493305087818
2.96,-2.9658356404094786
2.9619999999999997,-2.952293468482789
2.964,-2.9388656654972634
2.966,-2.9255511225582893
2.968,-2.9123487454597723
2.9699999999999998,-2.8992574544609724
2.972,-2.8862761840674263
2.974,-2.873403882815862
2.976,-2.8606395130629947
2.9779999999999998,-2.8479820507781684
2.98,-2.835430485339735
2.982,-2.822983819335103
2.984,-2.8106410683643377
2.9859999999999998,-2.7984012608473257
2.988,-2.7862634378343194
2.99,-2.774226652819905
2.992,-2.762289971560215
2.9939999999999998,-2.7504524718933876
2.996,-2.7387132435632164
2.998,-2.727071388045856
3.0,-2.7155260183795535
3.002,-2.704076258997409
3.004,-2.692721245562999
3.0060000000000002,-2.681460124808856
3.008,-2.6702920543778004
3.01,-2.659216202666883
3.012,-2.648231748674139
3.0140000000000002,-2.637337881847954
3.016,-2.6265338019389755
3.018,-2.6158187188544813
3.02,-2.6051918525154067
3.0220000000000002,-2.59465243271566
3.024,-2.5841996989837854
3.026,-2.5738329004472305
3.028,-2.563551295698473
3.0300000000000002,-2.5533541526637595
3.032,-2.5432407484739086
3.034,-2.5332103693372505
3.036,-2.523262310414729
3.0380000000000003,-2.513395875697015
3.04,-2.503610377883858
3.042,-2.4939051382650943
3.044,-2.484279486603985
3.0460000000000003,-2.4747327610220555
3.048,-2.465264307886468
3.05,-2.4558734816985
3.052,-2.446559644984319
3.0540000000000003,-2.437322168187438
3.056,-2.4281604295628463
3.058,-2.419073815073009
3.06,-2.4100617182853163
3.0620000000000003,-2.4011235402714295
3.064,-2.3922586895081484
3.066,-2.383466581779808
3.068,-2.374746640082372
3.0700000000000003,-2.3660982945290017
3.072,-2.357520982257192
3.074,-2.349014147337176
3.076,-2.3405772406820233
3.0780000000000003,-2.3322097199591725
3.08,-2.323911049503187
3.082,-2.3156807002300765
3.084,-2.3075181495527937
